Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
"Sorin, Solemn Visitor",4.0,"['Black', 'White']","['B', 'W']",['Legendary'],['Planeswalker'],['Sorin'],Mythic,KTK,None,None,4,"[+1]: Until your next turn, creatures you control get +1/+0 and gain lifelink.\n[−2]: Create a 2/2 black Vampire creature token with flying.\n[−6]: You get an emblem with ""At the beginning of each opponent's upkeep, that player sacrifices a creature."""
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,KTK,None,None,None,({T}: Add {G}.)
Rattleclaw Mystic,2.0,['Green'],"['G', 'R', 'U']",None,['Creature'],"['Human', 'Shaman']",Rare,KTK,2,1,None,"{T}: Add {G}, {U}, or {R}.\nMorph {2} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen Rattleclaw Mystic is turned face up, add {G}{U}{R}."
Abzan Banner,3.0,None,"['B', 'G', 'W']",None,['Artifact'],None,Common,KTK,None,None,None,"{T}: Add {W}, {B}, or {G}.\n{W}{B}{G}, {T}, Sacrifice Abzan Banner: Draw a card."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,KTK,None,None,None,({T}: Add {G}.)
Altar of the Brood,1.0,None,None,None,['Artifact'],None,Rare,KTK,None,None,None,"Whenever another permanent enters the battlefield under your control, each opponent mills a card."
Pine Walker,5.0,['Green'],['G'],None,['Creature'],['Elemental'],Uncommon,KTK,5,5,None,"Morph {4}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhenever Pine Walker or another creature you control is turned face up, untap that creature."
Zurgo Helmsmasher,5.0,"['Black', 'Red', 'White']","['B', 'R', 'W']",['Legendary'],['Creature'],"['Orc', 'Warrior']",Mythic,KTK,7,2,None,"Haste\nZurgo Helmsmasher attacks each combat if able.\nZurgo Helmsmasher has indestructible as long as it's your turn.\nWhenever a creature dealt damage by Zurgo Helmsmasher this turn dies, put a +1/+1 counter on Zurgo Helmsmasher."
Naturalize,2.0,['Green'],['G'],None,['Instant'],None,Common,KTK,None,None,None,Destroy target artifact or enchantment.
Roar of Challenge,3.0,['Green'],['G'],None,['Sorcery'],None,Uncommon,KTK,None,None,None,All creatures able to block target creature this turn do so.\nFerocious — That creature gains indestructible until end of turn if you control a creature with power 4 or greater.
Meandering Towershell,5.0,['Green'],['G'],None,['Creature'],['Turtle'],Rare,KTK,5,9,None,"Islandwalk (This creature can't be blocked as long as defending player controls an Island.)\nWhenever Meandering Towershell attacks, exile it. Return it to the battlefield under your control tapped and attacking at the beginning of the declare attackers step on your next turn."
Warden of the Eye,5.0,"['Red', 'Blue', 'White']","['R', 'U', 'W']",None,['Creature'],"['Djinn', 'Wizard']",Uncommon,KTK,3,3,None,"When Warden of the Eye enters the battlefield, return target noncreature, nonland card from your graveyard to your hand."
Longshot Squad,4.0,['Green'],['G'],None,['Creature'],"['Dog', 'Archer']",Common,KTK,3,3,None,"Outlast {1}{G} ({1}{G}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)\nEach creature you control with a +1/+1 counter on it has reach. (A creature with reach can block creatures with flying.)"
Villainous Wealth,3.0,"['Black', 'Green', 'Blue']","['B', 'G', 'U']",None,['Sorcery'],None,Rare,KTK,None,None,None,Target opponent exiles the top X cards of their library. You may cast any number of spells with mana value X or less from among them without paying their mana costs.
Kin-Tree Warden,1.0,['Green'],['G'],None,['Creature'],"['Human', 'Warrior']",Common,KTK,1,1,None,{2}: Regenerate Kin-Tree Warden.\nMorph {G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Utter End,4.0,"['Black', 'White']","['B', 'W']",None,['Instant'],None,Rare,KTK,None,None,None,Exile target nonland permanent.
Incremental Growth,5.0,['Green'],['G'],None,['Sorcery'],None,Uncommon,KTK,None,None,None,"Put a +1/+1 counter on target creature, two +1/+1 counters on another target creature, and three +1/+1 counters on a third target creature."
Temur Ascendancy,3.0,"['Green', 'Red', 'Blue']","['G', 'R', 'U']",None,['Enchantment'],None,Rare,KTK,None,None,None,"Creatures you control have haste.\nWhenever a creature with power 4 or greater enters the battlefield under your control, you may draw a card."
Hooting Mandrills,6.0,['Green'],['G'],None,['Creature'],['Ape'],Common,KTK,4,4,None,Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)\nTrample
Temur Charm,3.0,"['Green', 'Red', 'Blue']","['G', 'R', 'U']",None,['Instant'],None,Uncommon,KTK,None,None,None,Choose one —\n• Target creature you control gets +1/+1 until end of turn. It fights target creature you don't control.\n• Counter target spell unless its controller pays {3}.\n• Creatures with power 3 or less can't block this turn.
Hooded Hydra,2.0,['Green'],['G'],None,['Creature'],"['Snake', 'Hydra']",Mythic,KTK,0,0,None,"Hooded Hydra enters the battlefield with X +1/+1 counters on it.\nWhen Hooded Hydra dies, create a 1/1 green Snake creature token for each +1/+1 counter on it.\nMorph {3}{G}{G}\nAs Hooded Hydra is turned face up, put five +1/+1 counters on it."
Sultai Ascendancy,3.0,"['Black', 'Green', 'Blue']","['B', 'G', 'U']",None,['Enchantment'],None,Rare,KTK,None,None,None,"At the beginning of your upkeep, look at the top two cards of your library. Put any number of them into your graveyard and the rest back on top of your library in any order."
Highland Game,2.0,['Green'],['G'],None,['Creature'],['Elk'],Common,KTK,2,1,None,"When Highland Game dies, you gain 2 life."
Heir of the Wilds,2.0,['Green'],['G'],None,['Creature'],"['Human', 'Warrior']",Uncommon,KTK,2,2,None,"Deathtouch\nFerocious — Whenever Heir of the Wilds attacks, if you control a creature with power 4 or greater, Heir of the Wilds gets +1/+1 until end of turn."
Snowhorn Rider,6.0,"['Green', 'Red', 'Blue']","['G', 'R', 'U']",None,['Creature'],"['Human', 'Warrior']",Common,KTK,5,5,None,Trample\nMorph {2}{G}{U}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Hardened Scales,1.0,['Green'],['G'],None,['Enchantment'],None,Rare,KTK,None,None,None,"If one or more +1/+1 counters would be put on a creature you control, that many plus one +1/+1 counters are put on it instead."
Surrak Dragonclaw,5.0,"['Green', 'Red', 'Blue']","['G', 'R', 'U']",['Legendary'],['Creature'],"['Human', 'Warrior']",Mythic,KTK,6,6,None,Flash\nThis spell can't be countered.\nCreature spells you control can't be countered.\nOther creatures you control have trample.
Feed the Clan,2.0,['Green'],['G'],None,['Instant'],None,Common,KTK,None,None,None,You gain 5 life.\nFerocious — You gain 10 life instead if you control a creature with power 4 or greater.
