Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
The Gitrog Monster,5.0,"['Black', 'Green']","['B', 'G']",['Legendary'],['Creature'],"['Frog', 'Horror']",Mythic,PSOI,6,6,None,"Deathtouch\nAt the beginning of your upkeep, sacrifice The Gitrog Monster unless you sacrifice a land.\nYou may play an additional land on each of your turns.\nWhenever one or more land cards are put into your graveyard from anywhere, draw a card."
"Sigarda, Heron's Grace",5.0,"['Green', 'White']","['G', 'W']",['Legendary'],['Creature'],['Angel'],Mythic,PSOI,4,5,None,"Flying\nYou and Humans you control have hexproof.\n{2}, Exile a card from your graveyard: Create a 1/1 white Human Soldier creature token."
Fevered Visions,3.0,"['Red', 'Blue']","['R', 'U']",None,['Enchantment'],None,Rare,PSOI,None,None,None,"At the beginning of each player's end step, that player draws a card. If the player is your opponent and has four or more cards in hand, Fevered Visions deals 2 damage to that player."
"Arlinn Kord // Arlinn, Embraced by the Moon",4.0,"['Green', 'Red']","['G', 'R']",['Legendary'],['Planeswalker'],['Arlinn'],Mythic,PSOI,None,None,None,"[+1]: Creatures you control get +1/+1 and gain trample until end of turn.\n[−1]: Arlinn, Embraced by the Moon deals 3 damage to any target. Transform Arlinn, Embraced by the Moon.\n[−6]: You get an emblem with ""Creatures you control have haste and '{T}: This creature deals damage equal to its power to any target.'"""
Anguished Unmaking,3.0,"['Black', 'White']","['B', 'W']",None,['Instant'],None,Rare,PSOI,None,None,None,Exile target nonland permanent. You lose 3 life.
Altered Ego,4.0,"['Green', 'Blue']","['G', 'U']",None,['Creature'],['Shapeshifter'],Rare,PSOI,0,0,None,"This spell can't be countered.\nYou may have Altered Ego enter the battlefield as a copy of any creature on the battlefield, except it enters with X additional +1/+1 counters on it."
Ulvenwald Hydra,6.0,['Green'],['G'],None,['Creature'],['Hydra'],Mythic,PSOI,*,*,None,"Reach\nUlvenwald Hydra's power and toughness are each equal to the number of lands you control.\nWhen Ulvenwald Hydra enters the battlefield, you may search your library for a land card, put it onto the battlefield tapped, then shuffle."
Traverse the Ulvenwald,1.0,['Green'],['G'],None,['Sorcery'],None,Rare,PSOI,None,None,None,"Search your library for a basic land card, reveal it, put it into your hand, then shuffle.\nDelirium — If there are four or more card types among cards in your graveyard, instead search your library for a creature or land card, reveal it, put it into your hand, then shuffle."
Tireless Tracker,3.0,['Green'],['G'],None,['Creature'],"['Human', 'Scout']",Rare,PSOI,3,2,None,"Whenever a land enters the battlefield under your control, investigate. (Create a colorless Clue artifact token with ""{2}, Sacrifice this artifact: Draw a card."")\nWhenever you sacrifice a Clue, put a +1/+1 counter on Tireless Tracker."
Triskaidekaphobia,4.0,['Black'],['B'],None,['Enchantment'],None,Rare,PSOI,None,None,None,"At the beginning of your upkeep, choose one —\n• Each player with exactly 13 life loses the game, then each player gains 1 life.\n• Each player with exactly 13 life loses the game, then each player loses 1 life."
