Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Return to Battle,1.0,['Black'],['B'],None,['Sorcery'],None,Common,PTK,None,None,None,Return target creature card from your graveyard to your hand.
Wei Assassins,5.0,['Black'],['B'],None,['Creature'],"['Human', 'Soldier', 'Assassin']",Uncommon,PTK,3,2,None,"When Wei Assassins enters the battlefield, target opponent chooses a creature they control. Destroy that creature."
Barbarian Horde,4.0,['Red'],['R'],None,['Creature'],"['Human', 'Barbarian', 'Soldier']",Common,PTK,3,3,None,None
Imperial Seal,1.0,['Black'],['B'],None,['Sorcery'],None,Rare,PTK,None,None,None,"Search your library for a card, then shuffle and put that card on top. You lose 2 life."
Eunuchs' Intrigues,3.0,['Red'],['R'],None,['Sorcery'],None,Uncommon,PTK,None,None,None,Target opponent chooses a creature they control. Other creatures they control can't block this turn.
"Dong Zhou, the Tyrant",5.0,['Red'],['R'],['Legendary'],['Creature'],"['Human', 'Soldier']",Rare,PTK,3,3,None,"When Dong Zhou, the Tyrant enters the battlefield, target creature an opponent controls deals damage equal to its power to that player."
Ghostly Visit,3.0,['Black'],['B'],None,['Sorcery'],None,Common,PTK,None,None,None,Destroy target nonblack creature.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,PTK,None,None,None,({T}: Add {G}.)
Corrupt Eunuchs,4.0,['Red'],['R'],None,['Creature'],"['Human', 'Advisor']",Uncommon,PTK,2,2,None,"When Corrupt Eunuchs enters the battlefield, it deals 2 damage to target creature."
Wei Ambush Force,2.0,['Black'],['B'],None,['Creature'],"['Human', 'Soldier']",Common,PTK,1,1,None,"Whenever Wei Ambush Force attacks, it gets +2/+0 until end of turn."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,PTK,None,None,None,({T}: Add {G}.)
Desperate Charge,3.0,['Black'],['B'],None,['Sorcery'],None,Uncommon,PTK,None,None,None,Creatures you control get +2/+0 until end of turn.
Deception,3.0,['Black'],['B'],None,['Sorcery'],None,Common,PTK,None,None,None,Target opponent discards two cards.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,PTK,None,None,None,({T}: Add {G}.)
