Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Moon-Eating Dog,4.0,['Blue'],['U'],None,['Creature'],['Dog'],Uncommon,GS1,3,3,None,"As long as you control a Yanling planeswalker, Moon-Eating Dog has flying. (It can't be blocked except by creatures with flying or reach.)"
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,GS1,None,None,None,({T}: Add {G}.)
Earth-Origin Yak,4.0,['White'],['W'],None,['Creature'],['Ox'],Common,GS1,2,4,None,"When Earth-Origin Yak enters the battlefield, creatures you control get +1/+1 until end of turn."
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,GS1,None,None,None,({T}: Add {R}.)
Nine-Tail White Fox,3.0,['Blue'],['U'],None,['Creature'],"['Fox', 'Spirit']",Common,GS1,2,2,None,"Whenever Nine-Tail White Fox deals combat damage to a player, draw a card."
Timber Gorge,0.0,None,"['G', 'R']",None,['Land'],None,Common,GS1,None,None,None,Timber Gorge enters the battlefield tapped.\n{T}: Add {R} or {G}.
Purple-Crystal Crab,2.0,['Blue'],['U'],None,['Creature'],['Crab'],Common,GS1,1,1,None,"When Purple-Crystal Crab dies, draw a card."
Cleansing Screech,5.0,['Red'],['R'],None,['Sorcery'],None,Common,GS1,None,None,None,Cleansing Screech deals 4 damage to any target.
Mu Yanling,6.0,['Blue'],['U'],['Legendary'],['Planeswalker'],['Yanling'],Mythic,GS1,None,None,5,[+2]: Target creature can't be blocked this turn.\n[−3]: Draw two cards.\n[−10]: Tap all creatures your opponents control. You take an extra turn after this one.
Journey for the Elixir,3.0,['Green'],['G'],None,['Sorcery'],None,Rare,GS1,None,None,None,"Search your library and graveyard for a basic land card and a card named Jiang Yanggu, reveal them, put them into your hand, then shuffle."
Heavenly Qilin,3.0,['White'],['W'],None,['Creature'],['Kirin'],Common,GS1,2,2,None,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhenever Heavenly Qilin attacks, another target creature you control gains flying until end of turn."
Confidence from Strength,3.0,['Green'],['G'],None,['Sorcery'],None,Common,GS1,None,None,None,Target creature gets +4/+4 and gains trample until end of turn. (It can deal excess combat damage to the player or planeswalker it's attacking.)
Aggressive Instinct,2.0,['Green'],['G'],None,['Sorcery'],None,Common,GS1,None,None,None,Target creature you control deals damage equal to its power to target creature you don't control.
Welkin Tern,2.0,['Blue'],['U'],None,['Creature'],['Bird'],Common,GS1,2,1,None,Flying (This creature can't be blocked except by creatures with flying or reach.)\nWelkin Tern can block only creatures with flying.
Breath of Fire,2.0,['Red'],['R'],None,['Instant'],None,Common,GS1,None,None,None,Breath of Fire deals 2 damage to target creature.
Hardened-Scale Armor,3.0,['Green'],['G'],None,['Enchantment'],['Aura'],Common,GS1,None,None,None,Enchant creature\nEnchanted creature gets +3/+3.
Earthshaking Si,6.0,['Green'],['G'],None,['Creature'],['Beast'],Common,GS1,5,5,None,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
