Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Shrieking Drake,1.0,['Blue'],['U'],None,['Creature'],['Drake'],Common,PMEI,1,1,None,"Flying\nWhen Shrieking Drake enters the battlefield, return a creature you control to its owner's hand."
Disenchant,2.0,['White'],['W'],None,['Instant'],None,Rare,PMEI,None,None,None,Destroy target artifact or enchantment.
Bone Shredder,3.0,['Black'],['B'],None,['Creature'],"['Phyrexian', 'Minion']",Rare,PMEI,1,1,None,"Flying\nEcho {2}{B} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)\nWhen Bone Shredder enters the battlefield, destroy target nonartifact, nonblack creature."
Zhalfirin Knight,3.0,['White'],['W'],None,['Creature'],"['Human', 'Knight']",Common,PMEI,2,2,None,"Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)\n{W}{W}: Zhalfirin Knight gains first strike until end of turn."
Counterspell,2.0,['Blue'],['U'],None,['Instant'],None,Rare,PMEI,None,None,None,Counter target spell.
Fireball,1.0,['Red'],['R'],None,['Sorcery'],None,Common,PMEI,None,None,None,"This spell costs {1} more to cast for each target beyond the first.\nFireball deals X damage divided evenly, rounded down, among any number of targets."
Diabolic Edict,2.0,['Black'],['B'],None,['Instant'],None,Rare,PMEI,None,None,None,Target player sacrifices a creature.
Chandra's Spitfire,3.0,['Red'],['R'],None,['Creature'],['Elemental'],Uncommon,PMEI,1,3,None,"Flying\nWhenever an opponent is dealt noncombat damage, Chandra's Spitfire gets +3/+0 until end of turn."
Crop Rotation,1.0,['Green'],['G'],None,['Instant'],None,Rare,PMEI,None,None,None,"As an additional cost to cast this spell, sacrifice a land.\nSearch your library for a land card, put that card onto the battlefield, then shuffle."
Tangled Florahedron // Tangled Vale,2.0,['Green'],['G'],None,['Creature'],['Elemental'],Uncommon,PMEI,1,1,None,{T}: Add {G}.
Heliod's Pilgrim,3.0,['White'],['W'],None,['Creature'],"['Human', 'Cleric']",Rare,PMEI,1,2,None,"When Heliod's Pilgrim enters the battlefield, you may search your library for an Aura card, reveal it, put it into your hand, then shuffle."
Voltaic Key,1.0,None,None,None,['Artifact'],None,Rare,PMEI,None,None,None,"{1}, {T}: Untap target artifact."
