Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Ragged Recluse // Odious Witch,2.0,['Black'],['B'],None,['Creature'],"['Human', 'Peasant']",Common,VOW,2,1,None,"At the beginning of your end step, if you discarded a card this turn, transform Ragged Recluse."
Sigardian Paladin,4.0,"['Green', 'White']","['G', 'W']",None,['Creature'],"['Human', 'Knight']",Uncommon,VOW,4,4,None,"As long as you've put one or more +1/+1 counters on a creature this turn, Sigardian Paladin has trample and lifelink.\n{1}{G}{W}: Target creature you control with a +1/+1 counter on it gains trample and lifelink until end of turn."
Pointed Discussion,3.0,['Black'],['B'],None,['Sorcery'],None,Common,VOW,None,None,None,"You draw two cards, lose 2 life, then create a Blood token. (It's an artifact with ""{1}, {T}, Discard a card, Sacrifice this artifact: Draw a card."")"
Persistent Specimen,1.0,['Black'],['B'],None,['Creature'],['Skeleton'],Common,VOW,1,1,None,{2}{B}: Return Persistent Specimen from your graveyard to the battlefield tapped.
Path of Peril,3.0,['Black'],"['B', 'W']",None,['Sorcery'],None,Rare,VOW,None,None,None,"Cleave {4}{W}{B} (You may cast this spell for its cleave cost. If you do, remove the words in square brackets.)\nDestroy all creatures [with mana value 2 or less]."
"Runo Stromkirk // Krothuss, Lord of the Deep",3.0,"['Black', 'Blue']","['B', 'U']",['Legendary'],['Creature'],"['Vampire', 'Cleric']",Rare,VOW,1,4,None,"Flying\nWhen Runo Stromkirk enters the battlefield, put up to one target creature card from your graveyard on top of your library.\nAt the beginning of your upkeep, look at the top card of your library. You may reveal that card. If a creature card with mana value 6 or greater is revealed this way, transform Runo Stromkirk."
Parasitic Grasp,2.0,['Black'],['B'],None,['Instant'],None,Uncommon,VOW,None,None,None,"Cleave {1}{B}{B} (You may cast this spell for its cleave cost. If you do, remove the words in square brackets.)\nParasitic Grasp deals 3 damage to target [Human] creature. You gain 3 life."
"Olivia, Crimson Bride",6.0,"['Black', 'Red']","['B', 'R']",['Legendary'],['Creature'],"['Vampire', 'Noble']",Mythic,VOW,3,4,None,"Flying, haste\nWhenever Olivia, Crimson Bride attacks, return target creature card from your graveyard to the battlefield tapped and attacking. It gains ""When you don't control a legendary Vampire, exile this creature."""
Old Rutstein,3.0,"['Black', 'Green']","['B', 'G']",['Legendary'],['Creature'],"['Human', 'Peasant']",Rare,VOW,1,4,None,"When Old Rutstein enters the battlefield or at the beginning of your upkeep, mill a card. If a land card is milled this way, create a Treasure token. If a creature card is milled this way, create a 1/1 green Insect creature token. If a noncreature, nonland card is milled this way, create a Blood token."
Mindleech Ghoul,2.0,['Black'],['B'],None,['Creature'],['Zombie'],Common,VOW,2,2,None,"Exploit (When this creature enters the battlefield, you may sacrifice a creature.)\nWhen Mindleech Ghoul exploits a creature, each opponent exiles a card from their hand."
