Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Tree of Redemption,4.0,['Green'],['G'],None,['Creature'],['Plant'],Mythic,ISD,0,13,None,Defender\n{T}: Exchange your life total with Tree of Redemption's toughness.
Witchbane Orb,4.0,None,None,None,['Artifact'],None,Rare,ISD,None,None,None,"When Witchbane Orb enters the battlefield, destroy all Curses attached to you.\nYou have hexproof. (You can't be the target of spells or abilities your opponents control, including Aura spells.)"
Wooden Stake,2.0,None,None,None,['Artifact'],['Equipment'],Common,ISD,None,None,None,"Equipped creature gets +1/+0.\nWhenever equipped creature blocks or becomes blocked by a Vampire, destroy that creature. It can't be regenerated.\nEquip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)"
Travel Preparations,2.0,['Green'],"['G', 'W']",None,['Sorcery'],None,Common,ISD,None,None,None,Put a +1/+1 counter on each of up to two target creatures.\nFlashback {1}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Trepanation Blade,3.0,None,None,None,['Artifact'],['Equipment'],Uncommon,ISD,None,None,None,"Whenever equipped creature attacks, defending player reveals cards from the top of their library until they reveal a land card. The creature gets +1/+0 until end of turn for each card revealed this way. That player puts the revealed cards into their graveyard.\nEquip {2}"
Clifftop Retreat,0.0,None,"['R', 'W']",None,['Land'],None,Rare,ISD,None,None,None,Clifftop Retreat enters the battlefield tapped unless you control a Mountain or a Plains.\n{T}: Add {R} or {W}.
Splinterfright,3.0,['Green'],['G'],None,['Creature'],['Elemental'],Rare,ISD,*,*,None,"Trample\nSplinterfright's power and toughness are each equal to the number of creature cards in your graveyard.\nAt the beginning of your upkeep, mill two cards."
Gavony Township,0.0,None,"['G', 'W']",None,['Land'],None,Rare,ISD,None,None,None,"{T}: Add {C}.\n{2}{G}{W}, {T}: Put a +1/+1 counter on each creature you control."
Spidery Grasp,3.0,['Green'],['G'],None,['Instant'],None,Common,ISD,None,None,None,Untap target creature. It gets +2/+4 and gains reach until end of turn. (It can block creatures with flying.)
Ghost Quarter,0.0,None,None,None,['Land'],None,Uncommon,ISD,None,None,None,"{T}: Add {C}.\n{T}, Sacrifice Ghost Quarter: Destroy target land. Its controller may search their library for a basic land card, put it onto the battlefield, then shuffle."
Spider Spawning,5.0,['Green'],"['B', 'G']",None,['Sorcery'],None,Uncommon,ISD,None,None,None,Create a 1/2 green Spider creature token with reach for each creature card in your graveyard.\nFlashback {6}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Hinterland Harbor,0.0,None,"['G', 'U']",None,['Land'],None,Rare,ISD,None,None,None,Hinterland Harbor enters the battlefield tapped unless you control a Forest or an Island.\n{T}: Add {G} or {U}.
Somberwald Spider,5.0,['Green'],['G'],None,['Creature'],['Spider'],Common,ISD,2,4,None,Reach (This creature can block creatures with flying.)\nMorbid — Somberwald Spider enters the battlefield with two +1/+1 counters on it if a creature died this turn.
Isolated Chapel,0.0,None,"['B', 'W']",None,['Land'],None,Rare,ISD,None,None,None,Isolated Chapel enters the battlefield tapped unless you control a Plains or a Swamp.\n{T}: Add {W} or {B}.
Ranger's Guile,1.0,['Green'],['G'],None,['Instant'],None,Common,ISD,None,None,None,Target creature you control gets +1/+1 and gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)
Kessig Wolf Run,0.0,None,"['G', 'R']",None,['Land'],None,Rare,ISD,None,None,None,"{T}: Add {C}.\n{X}{R}{G}, {T}: Target creature gets +X/+0 and gains trample until end of turn."
Prey Upon,1.0,['Green'],['G'],None,['Sorcery'],None,Common,ISD,None,None,None,Target creature you control fights target creature you don't control. (Each deals damage equal to its power to the other.)
Moorland Haunt,0.0,None,"['U', 'W']",None,['Land'],None,Rare,ISD,None,None,None,"{T}: Add {C}.\n{W}{U}, {T}, Exile a creature card from your graveyard: Create a 1/1 white Spirit creature token with flying."
Parallel Lives,4.0,['Green'],['G'],None,['Enchantment'],None,Rare,ISD,None,None,None,"If an effect would create one or more tokens under your control, it creates twice that many of those tokens instead."
