Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Fabrication Module,3.0,None,None,None,['Artifact'],None,Uncommon,KLR,None,None,None,"Whenever you get one or more {E} (energy counters), put a +1/+1 counter on target creature you control.\n{4}, {T}: You get {E}."
Thriving Turtle,1.0,['Blue'],['U'],None,['Creature'],['Turtle'],Common,KLR,0,3,None,"When Thriving Turtle enters the battlefield, you get {E}{E} (two energy counters).\nWhenever Thriving Turtle attacks, you may pay {E}{E}. If you do, put a +1/+1 counter on it."
Tezzeret's Ambition,5.0,['Blue'],['U'],None,['Sorcery'],None,Common,KLR,None,None,None,"Draw three cards. If you control no artifacts, discard a card."
Skyship Plunderer,2.0,['Blue'],['U'],None,['Creature'],"['Human', 'Pirate']",Uncommon,KLR,2,1,None,"Flying\nWhenever Skyship Plunderer deals combat damage to a player, for each kind of counter on target permanent or player, give that permanent or player another counter of that kind."
Shrewd Negotiation,5.0,['Blue'],['U'],None,['Sorcery'],None,Uncommon,KLR,None,None,None,Exchange control of target artifact you control and target artifact or creature you don't control.
Electrostatic Pummeler,3.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Rare,KLR,1,1,None,"When Electrostatic Pummeler enters the battlefield, you get {E}{E}{E} (three energy counters).\nPay {E}{E}{E}: Electrostatic Pummeler gets +X/+X until end of turn, where X is its power."
Shipwreck Moray,4.0,['Blue'],['U'],None,['Creature'],['Fish'],Common,KLR,0,5,None,"When Shipwreck Moray enters the battlefield, you get {E}{E}{E}{E} (four energy counters).\nPay {E}: Shipwreck Moray gets +2/-2 until end of turn."
Shielded Aether Thief,2.0,['Blue'],['U'],None,['Creature'],"['Vedalken', 'Rogue']",Uncommon,KLR,0,4,None,"Flash (You may cast this spell any time you could cast an instant.)\nWhenever Shielded Aether Thief blocks, you get {E} (an energy counter).\n{T}, Pay {E}{E}{E}: Draw a card."
Select for Inspection,1.0,['Blue'],['U'],None,['Instant'],None,Common,KLR,None,None,None,Return target tapped creature to its owner's hand. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)
Revolutionary Rebuff,2.0,['Blue'],['U'],None,['Instant'],None,Common,KLR,None,None,None,Counter target nonartifact spell unless its controller pays {2}.
Paradoxical Outcome,4.0,['Blue'],['U'],None,['Instant'],None,Rare,KLR,None,None,None,"Return any number of target nonland, nontoken permanents you control to their owners' hands. Draw a card for each card returned to your hand this way."
Eager Construct,2.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Common,KLR,2,2,None,"When Eager Construct enters the battlefield, each player may scry 1. (To scry 1, look at the top card of your library, then you may put that card on the bottom of your library.)"
"Padeem, Consul of Innovation",4.0,['Blue'],['U'],['Legendary'],['Creature'],"['Vedalken', 'Artificer']",Rare,KLR,1,4,None,"Artifacts you control have hexproof.\nAt the beginning of your upkeep, if you control the artifact with the highest mana value or tied for the highest mana value, draw a card."
Spire of Industry,0.0,None,None,None,['Land'],None,Rare,KLR,None,None,None,"{T}: Add {C}.\n{T}, Pay 1 life: Add one mana of any color. Activate only if you control an artifact."
Nature's Way,2.0,['Green'],['G'],None,['Sorcery'],None,Uncommon,KLR,None,None,None,Target creature you control gains vigilance and trample until end of turn. It deals damage equal to its power to target creature you don't control.
Dynavolt Tower,3.0,None,None,None,['Artifact'],None,Rare,KLR,None,None,None,"Whenever you cast an instant or sorcery spell, you get {E}{E} (two energy counters).\n{T}, Pay {E}{E}{E}{E}{E}: Dynavolt Tower deals 3 damage to any target."
Narnam Renegade,1.0,['Green'],['G'],None,['Creature'],"['Elf', 'Warrior']",Uncommon,KLR,1,2,None,Deathtouch\nRevolt — Narnam Renegade enters the battlefield with a +1/+1 counter on it if a permanent you controlled left the battlefield this turn.
Dukhara Peafowl,4.0,None,['U'],None,"['Artifact', 'Creature']",['Bird'],Common,KLR,2,4,None,{U}: Dukhara Peafowl gains flying until end of turn.
Demolition Stomper,6.0,None,None,None,['Artifact'],['Vehicle'],Uncommon,KLR,10,7,None,Demolition Stomper can't be blocked by creatures with power 2 or less.\nCrew 5 (Tap any number of creatures you control with total power 5 or more: This Vehicle becomes an artifact creature until end of turn.)
Maulfist Revolutionary,3.0,['Green'],['G'],None,['Creature'],"['Human', 'Warrior']",Uncommon,KLR,3,3,None,"Trample\nWhen Maulfist Revolutionary enters the battlefield or dies, for each kind of counter on target permanent or player, give that permanent or player another counter of that kind."
Decoction Module,2.0,None,None,None,['Artifact'],None,Uncommon,KLR,None,None,None,"Whenever a creature enters the battlefield under your control, you get {E} (an energy counter).\n{4}, {T}: Return target creature you control to its owner's hand."
Longtusk Cub,2.0,['Green'],['G'],None,['Creature'],['Cat'],Uncommon,KLR,2,2,None,"Whenever Longtusk Cub deals combat damage to a player, you get {E}{E} (two energy counters).\nPay {E}{E}: Put a +1/+1 counter on Longtusk Cub."
Daredevil Dragster,3.0,None,None,None,['Artifact'],['Vehicle'],Uncommon,KLR,4,4,None,"At end of combat, if Daredevil Dragster attacked or blocked this combat, put a velocity counter on it. Then if it has two or more velocity counters on it, sacrifice it and draw two cards.\nCrew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)"
Inventors' Fair,0.0,None,None,['Legendary'],['Land'],None,Rare,KLR,None,None,None,"At the beginning of your upkeep, if you control three or more artifacts, you gain 1 life.\n{T}: Add {C}.\n{4}, {T}, Sacrifice Inventors' Fair: Search your library for an artifact card, reveal it, put it into your hand, then shuffle. Activate only if you control three or more artifacts."
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,KLR,None,None,None,({T}: Add {R}.)
Lifecraft Cavalry,5.0,['Green'],['G'],None,['Creature'],"['Elf', 'Warrior']",Common,KLR,4,4,None,Trample\nRevolt — Lifecraft Cavalry enters the battlefield with two +1/+1 counters on it if a permanent you controlled left the battlefield this turn.
Inspiring Vantage,0.0,None,"['R', 'W']",None,['Land'],None,Rare,KLR,None,None,None,Inspiring Vantage enters the battlefield tapped unless you control two or fewer other lands.\n{T}: Add {R} or {W}.
Concealed Courtyard,0.0,None,"['B', 'W']",None,['Land'],None,Rare,KLR,None,None,None,Concealed Courtyard enters the battlefield tapped unless you control two or fewer other lands.\n{T}: Add {W} or {B}.
Botanical Sanctum,0.0,None,"['G', 'U']",None,['Land'],None,Rare,KLR,None,None,None,Botanical Sanctum enters the battlefield tapped unless you control two or fewer other lands.\n{T}: Add {G} or {U}.
Kujar Seedsculptor,2.0,['Green'],['G'],None,['Creature'],"['Elf', 'Druid']",Common,KLR,1,2,None,"When Kujar Seedsculptor enters the battlefield, put a +1/+1 counter on target creature you control."
Blooming Marsh,0.0,None,"['B', 'G']",None,['Land'],None,Rare,KLR,None,None,None,Blooming Marsh enters the battlefield tapped unless you control two or fewer other lands.\n{T}: Add {B} or {G}.
Aether Hub,0.0,None,None,None,['Land'],None,Uncommon,KLR,None,None,None,"When Aether Hub enters the battlefield, you get {E} (an energy counter).\n{T}: Add {C}.\n{T}, Pay {E}: Add one mana of any color."
Workshop Assistant,3.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Common,KLR,1,2,None,"When Workshop Assistant dies, return another target artifact card from your graveyard to your hand."
Nimble Innovator,4.0,['Blue'],['U'],None,['Creature'],"['Vedalken', 'Artificer']",Common,KLR,2,2,None,"When Nimble Innovator enters the battlefield, draw a card."
Woodweaver's Puzzleknot,2.0,None,['G'],None,['Artifact'],None,Common,KLR,None,None,None,"When Woodweaver's Puzzleknot enters the battlefield, you gain 3 life and get {E}{E}{E} (three energy counters).\n{2}{G}, Sacrifice Woodweaver's Puzzleknot: You gain 3 life and get {E}{E}{E}."
Minister of Inquiries,1.0,['Blue'],['U'],None,['Creature'],"['Vedalken', 'Advisor']",Uncommon,KLR,1,2,None,"When Minister of Inquiries enters the battlefield, you get {E}{E} (two energy counters).\n{T}, Pay {E}: Target player mills three cards."
Whirlermaker,3.0,None,None,None,['Artifact'],None,Uncommon,KLR,None,None,None,"{4}, {T}: Create a 1/1 colorless Thopter artifact creature token with flying."
Sculpting Steel,3.0,None,None,None,['Artifact'],None,Mythic,KLR,None,None,None,You may have Sculpting Steel enter the battlefield as a copy of any artifact on the battlefield.
Metallurgic Summonings,5.0,['Blue'],['U'],None,['Enchantment'],None,Mythic,KLR,None,None,None,"Whenever you cast an instant or sorcery spell, create an X/X colorless Construct artifact creature token, where X is that spell's mana value.\n{3}{U}{U}, Exile Metallurgic Summonings: Return all instant and sorcery cards from your graveyard to your hand. Activate only if you control six or more artifacts."
Weldfast Monitor,3.0,None,['R'],None,"['Artifact', 'Creature']",['Lizard'],Common,KLR,3,2,None,{R}: Weldfast Monitor gains menace until end of turn.
Metallic Rebuke,3.0,['Blue'],['U'],None,['Instant'],None,Common,KLR,None,None,None,Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)\nCounter target spell unless its controller pays {3}.
Untethered Express,4.0,None,None,None,['Artifact'],['Vehicle'],Uncommon,KLR,4,4,None,"Trample\nWhenever Untethered Express attacks, put a +1/+1 counter on it.\nCrew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)"
Malfunction,4.0,['Blue'],['U'],None,['Enchantment'],['Aura'],Common,KLR,None,None,None,"Enchant artifact or creature\nWhen Malfunction enters the battlefield, tap enchanted permanent.\nEnchanted permanent doesn't untap during its controller's untap step."
Universal Solvent,1.0,None,None,None,['Artifact'],None,Common,KLR,None,None,None,"{7}, {T}, Sacrifice Universal Solvent: Destroy target permanent."
Leave in the Dust,4.0,['Blue'],['U'],None,['Instant'],None,Common,KLR,None,None,None,Return target nonland permanent to its owner's hand.\nDraw a card.
"Skysovereign, Consul Flagship",5.0,None,None,['Legendary'],['Artifact'],['Vehicle'],Mythic,KLR,6,5,None,"Flying\nWhenever Skysovereign, Consul Flagship enters the battlefield or attacks, it deals 3 damage to target creature or planeswalker an opponent controls.\nCrew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)"
Illusionist's Stratagem,4.0,['Blue'],['U'],None,['Instant'],None,Uncommon,KLR,None,None,None,"Exile up to two target creatures you control, then return those cards to the battlefield under their owner's control.\nDraw a card."
Sky Skiff,2.0,None,None,None,['Artifact'],['Vehicle'],Common,KLR,2,3,None,Flying\nCrew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)
Servo Schematic,2.0,None,None,None,['Artifact'],None,Uncommon,KLR,None,None,None,"When Servo Schematic enters the battlefield or is put into a graveyard from the battlefield, create a 1/1 colorless Servo artifact creature token."
Self-Assembler,5.0,None,None,None,"['Artifact', 'Creature']",['Assembly-Worker'],Common,KLR,4,4,None,"When Self-Assembler enters the battlefield, you may search your library for an Assembly-Worker creature card, reveal it, put it into your hand, then shuffle."
Cogworker's Puzzleknot,2.0,None,['W'],None,['Artifact'],None,Common,KLR,None,None,None,"When Cogworker's Puzzleknot enters the battlefield, create a 1/1 colorless Servo artifact creature token.\n{1}{W}, Sacrifice Cogworker's Puzzleknot: Create a 1/1 colorless Servo artifact creature token."
Scrapheap Scrounger,2.0,None,['B'],None,"['Artifact', 'Creature']",['Construct'],Rare,KLR,3,2,None,"Scrapheap Scrounger can't block.\n{1}{B}, Exile another creature card from your graveyard: Return Scrapheap Scrounger from your graveyard to the battlefield."
Scrap Trawler,3.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Rare,KLR,3,2,None,"Whenever Scrap Trawler or another artifact you control is put into a graveyard from the battlefield, return to your hand target artifact card in your graveyard with lesser mana value."
Reservoir Walker,5.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Common,KLR,3,3,None,"When Reservoir Walker enters the battlefield, you gain 3 life and get {E}{E}{E} (three energy counters)."
Highspire Artisan,3.0,['Green'],['G'],None,['Creature'],"['Elf', 'Artificer']",Common,KLR,0,3,None,"Reach (This creature can block creatures with flying.)\nFabricate 1 (When this creature enters the battlefield, put a +1/+1 counter on it or create a 1/1 colorless Servo artifact creature token.)"
Renegade Map,1.0,None,None,None,['Artifact'],None,Common,KLR,None,None,None,"Renegade Map enters the battlefield tapped.\n{T}, Sacrifice Renegade Map: Search your library for a basic land card, reveal it, put it into your hand, then shuffle."
Prophetic Prism,2.0,None,None,None,['Artifact'],None,Common,KLR,None,None,None,"When Prophetic Prism enters the battlefield, draw a card.\n{1}, {T}: Add one mana of any color."
Prakhata Pillar-Bug,3.0,None,['B'],None,"['Artifact', 'Creature']",['Insect'],Common,KLR,2,3,None,{B}: Prakhata Pillar-Bug gains lifelink until end of turn. (Damage dealt by this creature also causes you to gain that much life.)
Planar Bridge,6.0,None,None,['Legendary'],['Artifact'],None,Mythic,KLR,None,None,None,"{8}, {T}: Search your library for a permanent card, put it onto the battlefield, then shuffle."
Pendulum of Patterns,2.0,None,None,None,['Artifact'],None,Common,KLR,None,None,None,"When Pendulum of Patterns enters the battlefield, you gain 3 life.\n{5}, {T}, Sacrifice Pendulum of Patterns: Draw a card."
Ice Over,2.0,['Blue'],['U'],None,['Enchantment'],['Aura'],Common,KLR,None,None,None,Enchant artifact or creature\nEnchanted permanent doesn't untap during its controller's untap step.
Heroic Intervention,2.0,['Green'],['G'],None,['Instant'],None,Rare,KLR,None,None,None,Permanents you control gain hexproof and indestructible until end of turn.
Peacewalker Colossus,3.0,None,['W'],None,['Artifact'],['Vehicle'],Rare,KLR,6,6,None,{1}{W}: Another target Vehicle you control becomes an artifact creature until end of turn.\nCrew 4 (Tap any number of creatures you control with total power 4 or more: This Vehicle becomes an artifact creature until end of turn.)
Hinterland Drake,3.0,['Blue'],['U'],None,['Creature'],['Drake'],Common,KLR,2,3,None,Flying\nHinterland Drake can't block artifact creatures.
Glint-Nest Crane,2.0,['Blue'],['U'],None,['Creature'],['Bird'],Uncommon,KLR,1,3,None,"Flying\nWhen Glint-Nest Crane enters the battlefield, look at the top four cards of your library. You may reveal an artifact card from among them and put it into your hand. Put the rest on the bottom of your library in any order."
Paradox Engine,5.0,None,None,['Legendary'],['Artifact'],None,Mythic,KLR,None,None,None,"Whenever you cast a spell, untap all nonland permanents you control."
Glimmer of Genius,4.0,['Blue'],['U'],None,['Instant'],None,Uncommon,KLR,None,None,None,"Scry 2, then draw two cards. You get {E}{E} (two energy counters)."
Panharmonicon,4.0,None,None,None,['Artifact'],None,Rare,KLR,None,None,None,"If an artifact or creature entering the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time."
Gearseeker Serpent,7.0,['Blue'],['U'],None,['Creature'],['Serpent'],Common,KLR,5,6,None,This spell costs {1} less to cast for each artifact you control.\n{5}{U}: Gearseeker Serpent can't be blocked this turn.
Pacification Array,1.0,None,None,None,['Artifact'],None,Uncommon,KLR,None,None,None,"{2}, {T}: Tap target artifact or creature."
Greenbelt Rampager,1.0,['Green'],['G'],None,['Creature'],['Elephant'],Rare,KLR,3,4,None,"When Greenbelt Rampager enters the battlefield, pay {E}{E} (two energy counters). If you can't, return Greenbelt Rampager to its owner's hand and you get {E}."
Ovalchase Dragster,4.0,None,None,None,['Artifact'],['Vehicle'],Uncommon,KLR,6,1,None,"Trample, haste\nCrew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)"
Ornithopter,0.0,None,None,None,"['Artifact', 'Creature']",['Thopter'],Uncommon,KLR,0,2,None,Flying
Narnam Cobra,2.0,None,['G'],None,"['Artifact', 'Creature']",['Snake'],Common,KLR,2,1,None,{G}: Narnam Cobra gains deathtouch until end of turn. (Any amount of damage it deals to a creature is enough to destroy it.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,KLR,None,None,None,({T}: Add {G}.)
