Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Tandem Lookout,3.0,['Blue'],['U'],None,['Creature'],"['Human', 'Scout']",Uncommon,DDQ,2,1,None,"Soulbond (You may pair this creature with another unpaired creature when either enters the battlefield. They remain paired for as long as you control both of them.)\nAs long as Tandem Lookout is paired with another creature, each of those creatures has ""Whenever this creature deals damage to an opponent, draw a card."""
Pore Over the Pages,5.0,['Blue'],['U'],None,['Sorcery'],None,Uncommon,DDQ,None,None,None,"Draw three cards, untap up to two lands, then discard a card."
Nephalia Smuggler,1.0,['Blue'],['U'],None,['Creature'],"['Human', 'Rogue']",Uncommon,DDQ,1,1,None,"{3}{U}, {T}: Exile another target creature you control, then return that card to the battlefield under your control."
Mist Raven,4.0,['Blue'],['U'],None,['Creature'],['Bird'],Common,DDQ,2,2,None,"Flying\nWhen Mist Raven enters the battlefield, return target creature to its owner's hand."
Human Frailty,1.0,['Black'],['B'],None,['Instant'],None,Uncommon,DDQ,None,None,None,Destroy target Human creature.
Victim of Night,2.0,['Black'],['B'],None,['Instant'],None,Common,DDQ,None,None,None,"Destroy target non-Vampire, non-Werewolf, non-Zombie creature."
Gryff Vanguard,5.0,['Blue'],['U'],None,['Creature'],"['Human', 'Knight']",Common,DDQ,3,2,None,"Flying\nWhen Gryff Vanguard enters the battlefield, draw a card."
Captain of the Mists,3.0,['Blue'],['U'],None,['Creature'],"['Human', 'Wizard']",Rare,DDQ,2,3,None,"Whenever another Human enters the battlefield under your control, untap Captain of the Mists.\n{1}{U}, {T}: You may tap or untap target permanent."
Voice of the Provinces,6.0,['White'],['W'],None,['Creature'],['Angel'],Common,DDQ,3,3,None,"Flying\nWhen Voice of the Provinces enters the battlefield, create a 1/1 white Human creature token."
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,DDQ,None,None,None,({T}: Add {B}.)
Village Bell-Ringer,3.0,['White'],['W'],None,['Creature'],"['Human', 'Scout']",Common,DDQ,1,4,None,"Flash (You may cast this spell any time you could cast an instant.)\nWhen Village Bell-Ringer enters the battlefield, untap all creatures you control."
