Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
"Chandra, Fire of Kaladesh // Chandra, Roaring Flame",3.0,['Red'],['R'],['Legendary'],['Planeswalker'],['Chandra'],Mythic,PORI,None,None,4,"[+1]: Chandra, Roaring Flame deals 2 damage to target player or planeswalker.\n[−2]: Chandra, Roaring Flame deals 2 damage to target creature.\n[−7]: Chandra, Roaring Flame deals 6 damage to each opponent. Each player dealt damage this way gets an emblem with ""At the beginning of your upkeep, this emblem deals 3 damage to you."""
Despoiler of Souls,2.0,['Black'],['B'],None,['Creature'],['Horror'],Rare,PORI,3,1,None,"Despoiler of Souls can't block.\n{B}{B}, Exile two other creature cards from your graveyard: Return Despoiler of Souls from your graveyard to the battlefield."
"Alhammarret, High Arbiter",7.0,['Blue'],['U'],['Legendary'],['Creature'],['Sphinx'],Rare,PORI,5,5,None,"Flying\nAs Alhammarret, High Arbiter enters the battlefield, each opponent reveals their hand. You choose the name of a nonland card revealed this way.\nYour opponents can't cast spells with the chosen name (as long as this creature is on the battlefield)."
Dark Petition,5.0,['Black'],['B'],None,['Sorcery'],None,Rare,PORI,None,None,None,"Search your library for a card, put that card into your hand, then shuffle.\nSpell mastery — If there are two or more instant and/or sorcery cards in your graveyard, add {B}{B}{B}."
Willbreaker,5.0,['Blue'],['U'],None,['Creature'],"['Human', 'Wizard']",Rare,PORI,2,3,None,"Whenever a creature an opponent controls becomes the target of a spell or ability you control, gain control of that creature for as long as you control Willbreaker."
Thopter Spy Network,4.0,['Blue'],['U'],None,['Enchantment'],None,Rare,PORI,None,None,None,"At the beginning of your upkeep, if you control an artifact, create a 1/1 colorless Thopter artifact creature token with flying.\nWhenever one or more artifact creatures you control deal combat damage to a player, draw a card."
Languish,4.0,['Black'],['B'],None,['Sorcery'],None,Rare,PORI,None,None,None,All creatures get -4/-4 until end of turn.
Talent of the Telepath,4.0,['Blue'],['U'],None,['Sorcery'],None,Rare,PORI,None,None,None,"Target opponent reveals the top seven cards of their library. You may cast an instant or sorcery spell from among them without paying its mana cost. Then that player puts the rest into their graveyard.\nSpell mastery — If there are two or more instant and/or sorcery cards in your graveyard, you may cast up to two instant and/or sorcery spells from among the revealed cards instead of one."
Soulblade Djinn,5.0,['Blue'],['U'],None,['Creature'],['Djinn'],Rare,PORI,4,3,None,"Flying\nWhenever you cast a noncreature spell, creatures you control get +1/+1 until end of turn."
Mizzium Meddler,3.0,['Blue'],['U'],None,['Creature'],"['Vedalken', 'Wizard']",Rare,PORI,1,4,None,"Flash (You may cast this spell any time you could cast an instant.)\nWhen Mizzium Meddler enters the battlefield, you may change a target of target spell or ability to Mizzium Meddler."
"Kothophed, Soul Hoarder",6.0,['Black'],['B'],['Legendary'],['Creature'],['Demon'],Rare,PORI,6,6,None,"Flying\nWhenever a permanent owned by another player is put into a graveyard from the battlefield, you draw a card and you lose 1 life."
Jace's Sanctum,4.0,['Blue'],['U'],None,['Enchantment'],None,Rare,PORI,None,None,None,"Instant and sorcery spells you cast cost {1} less to cast.\nWhenever you cast an instant or sorcery spell, scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)"
"Jace, Vryn's Prodigy // Jace, Telepath Unbound",2.0,['Blue'],['U'],['Legendary'],['Planeswalker'],['Jace'],Mythic,PORI,None,None,5,"[+1]: Up to one target creature gets -2/-0 until your next turn.\n[−3]: You may cast target instant or sorcery card from your graveyard this turn. If that spell would be put into your graveyard this turn, exile it instead.\n[−9]: You get an emblem with ""Whenever you cast a spell, target opponent mills five cards."""
Graveblade Marauder,3.0,['Black'],['B'],None,['Creature'],"['Human', 'Warrior']",Rare,PORI,1,4,None,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)\nWhenever Graveblade Marauder deals combat damage to a player, that player loses life equal to the number of creature cards in your graveyard."
Harbinger of the Tides,2.0,['Blue'],['U'],None,['Creature'],"['Merfolk', 'Wizard']",Rare,PORI,2,2,None,"You may cast Harbinger of the Tides as though it had flash if you pay {2} more to cast it. (You may cast it any time you could cast an instant.)\nWhen Harbinger of the Tides enters the battlefield, you may return target tapped creature an opponent controls to its owner's hand."
Priest of the Blood Rite,5.0,['Black'],['B'],None,['Creature'],"['Human', 'Cleric']",Rare,PORI,2,2,None,"When Priest of the Blood Rite enters the battlefield, create a 5/5 black Demon creature token with flying.\nAt the beginning of your upkeep, you lose 2 life."
Vryn Wingmare,3.0,['White'],['W'],None,['Creature'],['Pegasus'],Rare,PORI,2,1,None,Flying\nNoncreature spells cost {1} more to cast.
Tragic Arrogance,5.0,['White'],['W'],None,['Sorcery'],None,Rare,PORI,None,None,None,"For each player, you choose from among the permanents that player controls an artifact, a creature, an enchantment, and a planeswalker. Then each player sacrifices all other nonland permanents they control."
Relic Seeker,2.0,['White'],['W'],None,['Creature'],"['Human', 'Soldier']",Rare,PORI,2,2,None,"Renown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)\nWhen Relic Seeker becomes renowned, you may search your library for an Equipment card, reveal it, put it into your hand, then shuffle."
Kytheon's Irregulars,4.0,['White'],['W'],None,['Creature'],"['Human', 'Soldier']",Rare,PORI,4,3,None,"Renown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)\n{W}{W}: Tap target creature."
Abbot of Keral Keep,2.0,['Red'],['R'],None,['Creature'],"['Human', 'Monk']",Rare,PORI,2,1,None,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)\nWhen Abbot of Keral Keep enters the battlefield, exile the top card of your library. Until end of turn, you may play that card."
Sword of the Animist,2.0,None,None,['Legendary'],['Artifact'],['Equipment'],Rare,PORI,None,None,None,"Equipped creature gets +1/+1.\nWhenever equipped creature attacks, you may search your library for a basic land card, put it onto the battlefield tapped, then shuffle.\nEquip {2}"
Exquisite Firecraft,3.0,['Red'],['R'],None,['Sorcery'],None,Rare,PORI,None,None,None,"Exquisite Firecraft deals 4 damage to any target.\nSpell mastery — If there are two or more instant and/or sorcery cards in your graveyard, this spell can't be countered."
"Kytheon, Hero of Akros // Gideon, Battle-Forged",1.0,['White'],['W'],['Legendary'],['Planeswalker'],['Gideon'],Mythic,PORI,None,None,3,"[+2]: Up to one target creature an opponent controls attacks Gideon, Battle-Forged during its controller's next turn if able.\n[+1]: Until your next turn, target creature gains indestructible. Untap that creature.\n[0]: Until end of turn, Gideon, Battle-Forged becomes a 4/4 Human Soldier creature with indestructible that's still a planeswalker. Prevent all damage that would be dealt to him this turn."
Goblin Piledriver,2.0,['Red'],['R'],None,['Creature'],"['Goblin', 'Warrior']",Rare,PORI,1,2,None,"Protection from blue (This creature can't be blocked, targeted, dealt damage, or enchanted by anything blue.)\nWhenever Goblin Piledriver attacks, it gets +2/+0 until end of turn for each other attacking Goblin."
Knight of the White Orchid,2.0,['White'],['W'],None,['Creature'],"['Human', 'Knight']",Rare,PORI,2,2,None,"First strike\nWhen Knight of the White Orchid enters the battlefield, if an opponent controls more lands than you, you may search your library for a Plains card, put it onto the battlefield, then shuffle."
Scab-Clan Berserker,3.0,['Red'],['R'],None,['Creature'],"['Human', 'Berserker']",Rare,PORI,2,2,None,"Haste\nRenown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)\nWhenever an opponent casts a noncreature spell, if Scab-Clan Berserker is renowned, Scab-Clan Berserker deals 2 damage to that player."
Outland Colossus,5.0,['Green'],['G'],None,['Creature'],['Giant'],Rare,PORI,6,6,None,"Renown 6 (When this creature deals combat damage to a player, if it isn't renowned, put six +1/+1 counters on it and it becomes renowned.)\nOutland Colossus can't be blocked by more than one creature."
Gilt-Leaf Winnower,5.0,['Black'],['B'],None,['Creature'],"['Elf', 'Warrior']",Rare,PORI,4,3,None,"Menace (This creature can't be blocked except by two or more creatures.)\nWhen Gilt-Leaf Winnower enters the battlefield, you may destroy target non-Elf creature whose power and toughness aren't equal."
Nissa's Revelation,7.0,['Green'],['G'],None,['Sorcery'],None,Rare,PORI,None,None,None,"Scry 5, then reveal the top card of your library. If it's a creature card, you draw cards equal to its power and you gain life equal to its toughness."
"Nissa, Vastwood Seer // Nissa, Sage Animist",3.0,['Green'],['G'],['Legendary'],['Planeswalker'],['Nissa'],Mythic,PORI,None,None,3,"[+1]: Reveal the top card of your library. If it's a land card, put it onto the battlefield. Otherwise, put it into your hand.\n[−2]: Create Ashaya, the Awoken World, a legendary 4/4 green Elemental creature token.\n[−7]: Untap up to six target lands. They become 6/6 Elemental creatures. They're still lands."
Managorger Hydra,3.0,['Green'],['G'],None,['Creature'],['Hydra'],Rare,PORI,1,1,None,"Trample\nWhenever a player casts a spell, put a +1/+1 counter on Managorger Hydra."
"Hixus, Prison Warden",5.0,['White'],['W'],['Legendary'],['Creature'],"['Human', 'Soldier']",Rare,PORI,4,4,None,"Flash (You may cast this spell any time you could cast an instant.)\nWhenever a creature deals combat damage to you, if Hixus, Prison Warden entered the battlefield this turn, exile that creature until Hixus leaves the battlefield. (That creature returns under its owner's control.)"
Gideon's Phalanx,7.0,['White'],['W'],None,['Instant'],None,Rare,PORI,None,None,None,"Create four 2/2 white Knight creature tokens with vigilance.\nSpell mastery — If there are two or more instant and/or sorcery cards in your graveyard, creatures you control gain indestructible until end of turn."
Evolutionary Leap,2.0,['Green'],['G'],None,['Enchantment'],None,Rare,PORI,None,None,None,"{G}, Sacrifice a creature: Reveal cards from the top of your library until you reveal a creature card. Put that card into your hand and the rest on the bottom of your library in a random order."
