Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Volunteer Militia,1.0,['White'],['W'],None,['Creature'],"['Human', 'Soldier']",Common,PTK,1,2,None,None
Shu Farmer,2.0,['White'],['W'],None,['Creature'],['Human'],Common,PTK,1,1,None,"{T}: You gain 1 life. Activate only during your turn, before attackers are declared."
Council of Advisors,3.0,['Blue'],['U'],None,['Creature'],"['Human', 'Advisor']",Uncommon,PTK,1,1,None,"When Council of Advisors enters the battlefield, draw a card."
Capture of Jingzhou,5.0,['Blue'],['U'],None,['Sorcery'],None,Rare,PTK,None,None,None,Take an extra turn after this one.
Brilliant Plan,5.0,['Blue'],['U'],None,['Sorcery'],None,Uncommon,PTK,None,None,None,Draw three cards.
Champion's Victory,1.0,['Blue'],['U'],None,['Instant'],None,Uncommon,PTK,None,None,None,Cast this spell only during the declare attackers step and only if you've been attacked this step.\nReturn target attacking creature to its owner's hand.
Shu Cavalry,3.0,['White'],['W'],None,['Creature'],"['Human', 'Soldier']",Common,PTK,2,2,None,Horsemanship (This creature can't be blocked except by creatures with horsemanship.)
Ravages of War,4.0,['White'],['W'],None,['Sorcery'],None,Rare,PTK,None,None,None,Destroy all lands.
Broken Dam,1.0,['Blue'],['U'],None,['Sorcery'],None,Common,PTK,None,None,None,Tap one or two target creatures without horsemanship.
Misfortune's Gain,4.0,['White'],['W'],None,['Sorcery'],None,Common,PTK,None,None,None,Destroy target creature. Its owner gains 4 life.
"Borrowing 100,000 Arrows",3.0,['Blue'],['U'],None,['Sorcery'],None,Uncommon,PTK,None,None,None,Draw a card for each tapped creature target opponent controls.
Peach Garden Oath,1.0,['White'],['W'],None,['Sorcery'],None,Uncommon,PTK,None,None,None,You gain 2 life for each creature you control.
"Zhang Fei, Fierce Warrior",6.0,['White'],['W'],['Legendary'],['Creature'],"['Human', 'Soldier', 'Warrior']",Rare,PTK,4,4,None,Vigilance; horsemanship (This creature can't be blocked except by creatures with horsemanship.)
Rally the Troops,1.0,['White'],['W'],None,['Instant'],None,Uncommon,PTK,None,None,None,Cast this spell only during the declare attackers step and only if you've been attacked this step.\nUntap all creatures you control.
"Pang Tong, ""Young Phoenix""",3.0,['White'],['W'],['Legendary'],['Creature'],"['Human', 'Advisor']",Rare,PTK,1,2,None,"{T}: Target creature gets +0/+2 until end of turn. Activate only during your turn, before attackers are declared."
Balance of Power,5.0,['Blue'],['U'],None,['Sorcery'],None,Rare,PTK,None,None,None,"If target opponent has more cards in hand than you, draw cards equal to the difference."
"Liu Bei, Lord of Shu",5.0,['White'],['W'],['Legendary'],['Creature'],"['Human', 'Soldier']",Rare,PTK,2,4,None,"Horsemanship (This creature can't be blocked except by creatures with horsemanship.)\nLiu Bei, Lord of Shu gets +2/+2 as long as you control a permanent named Guan Yu, Sainted Warrior or a permanent named Zhang Fei, Fierce Warrior."
"Zhao Zilong, Tiger General",5.0,['White'],['W'],['Legendary'],['Creature'],"['Human', 'Soldier', 'Warrior']",Rare,PTK,3,3,None,"Horsemanship (This creature can't be blocked except by creatures with horsemanship.)\nWhenever Zhao Zilong, Tiger General blocks, it gets +1/+1 until end of turn."
Kongming's Contraptions,4.0,['White'],['W'],None,['Creature'],"['Human', 'Soldier']",Rare,PTK,2,4,None,{T}: Kongming's Contraptions deals 2 damage to target attacking creature. Activate only during the declare attackers step and only if you've been attacked this step.
Virtuous Charge,3.0,['White'],['W'],None,['Sorcery'],None,Common,PTK,None,None,None,Creatures you control get +1/+1 until end of turn.
"Guan Yu's 1,000-Li March",6.0,['White'],['W'],None,['Sorcery'],None,Rare,PTK,None,None,None,Destroy all tapped creatures.
"Huang Zhong, Shu General",4.0,['White'],['W'],['Legendary'],['Creature'],"['Human', 'Soldier']",Rare,PTK,2,3,None,"Huang Zhong, Shu General can't be blocked by more than one creature."
Alert Shu Infantry,3.0,['White'],['W'],None,['Creature'],"['Human', 'Soldier']",Uncommon,PTK,2,2,None,Vigilance
"Guan Yu, Sainted Warrior",5.0,['White'],['W'],['Legendary'],['Creature'],"['Human', 'Soldier', 'Warrior']",Rare,PTK,3,5,None,"Horsemanship (This creature can't be blocked except by creatures with horsemanship.)\nWhen Guan Yu, Sainted Warrior is put into your graveyard from the battlefield, you may shuffle Guan Yu into your library."
