Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Aether Vial,1.0,None,None,None,['Artifact'],None,Rare,PPRO,None,None,None,"At the beginning of your upkeep, you may put a charge counter on Aether Vial.\n{T}: You may put a creature card with mana value equal to the number of charge counters on Aether Vial from your hand onto the battlefield."
"Emrakul, the Aeons Torn",15.0,None,None,['Legendary'],['Creature'],['Eldrazi'],Mythic,PPRO,15,15,None,"This spell can't be countered.\nWhen you cast this spell, take an extra turn after this one.\nFlying, protection from spells that are one or more colors, annihilator 6\nWhen Emrakul, the Aeons Torn is put into a graveyard from anywhere, its owner shuffles their graveyard into their library."
"Vraska, Golgari Queen",4.0,"['Black', 'Green']","['B', 'G']",['Legendary'],['Planeswalker'],['Vraska'],Mythic,PPRO,None,None,4,"[+2]: You may sacrifice another permanent. If you do, you gain 1 life and draw a card.\n[−3]: Destroy target nonland permanent with mana value 3 or less.\n[−9]: You get an emblem with ""Whenever a creature you control deals combat damage to a player, that player loses the game."""
Ajani Goldmane,4.0,['White'],['W'],['Legendary'],['Planeswalker'],['Ajani'],Mythic,PPRO,None,None,4,"[+1]: You gain 2 life.\n[−1]: Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn.\n[−6]: Create a white Avatar creature token. It has ""This creature's power and toughness are each equal to your life total."""
"Liliana, Dreadhorde General",6.0,['Black'],['B'],['Legendary'],['Planeswalker'],['Liliana'],Mythic,PPRO,None,None,6,"Whenever a creature you control dies, draw a card.\n[+1]: Create a 2/2 black Zombie creature token.\n[−4]: Each player sacrifices two creatures.\n[−9]: Each opponent chooses a permanent they control of each permanent type and sacrifices the rest."
Snapcaster Mage,2.0,['Blue'],['U'],None,['Creature'],"['Human', 'Wizard']",Mythic,PPRO,2,1,None,"Flash\nWhen Snapcaster Mage enters the battlefield, target instant or sorcery card in your graveyard gains flashback until end of turn. The flashback cost is equal to its mana cost. (You may cast that card from your graveyard for its flashback cost. Then exile it.)"
"Treva, the Renewer",6.0,"['Green', 'Blue', 'White']","['G', 'U', 'W']",['Legendary'],['Creature'],['Dragon'],Rare,PPRO,6,6,None,"Flying\nWhenever Treva, the Renewer deals combat damage to a player, you may pay {2}{W}. If you do, choose a color, then you gain 1 life for each permanent of that color."
Pteramander,1.0,['Blue'],['U'],None,['Creature'],"['Salamander', 'Drake']",Uncommon,PPRO,1,1,None,"Flying\n{7}{U}: Adapt 4. This ability costs {1} less to activate for each instant and sorcery card in your graveyard. (If this creature has no +1/+1 counters on it, put four +1/+1 counters on it.)"
"Narset, Parter of Veils",3.0,['Blue'],['U'],['Legendary'],['Planeswalker'],['Narset'],Uncommon,PPRO,None,None,5,"Each opponent can't draw more than one card each turn.\n[−2]: Look at the top four cards of your library. You may reveal a noncreature, nonland card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
Mirari's Wake,5.0,"['Green', 'White']","['G', 'W']",None,['Enchantment'],None,Rare,PPRO,None,None,None,"Creatures you control get +1/+1.\nWhenever you tap a land for mana, add one mana of any type that land produced."
Arcbound Ravager,2.0,None,None,None,"['Artifact', 'Creature']",['Beast'],Rare,PPRO,0,0,None,"Sacrifice an artifact: Put a +1/+1 counter on Arcbound Ravager.\nModular 1 (This creature enters the battlefield with a +1/+1 counter on it. When it dies, you may put its +1/+1 counters on target artifact creature.)"
Fae of Wishes // Granted,2.0,['Blue'],['U'],None,['Sorcery'],['Adventure'],Rare,PPRO,None,None,None,You may reveal a noncreature card you own from outside the game and put it into your hand.
Liliana of the Veil,3.0,['Black'],['B'],['Legendary'],['Planeswalker'],['Liliana'],Mythic,PPRO,None,None,3,[+1]: Each player discards a card.\n[−2]: Target player sacrifices a creature.\n[−6]: Separate all permanents target player controls into two piles. That player sacrifices all permanents in the pile of their choice.
Avatar of Woe,8.0,['Black'],['B'],None,['Creature'],['Avatar'],Rare,PPRO,6,5,None,"If there are ten or more creature cards total in all graveyards, this spell costs {6} less to cast.\nFear (This creature can't be blocked except by artifact creatures and/or black creatures.)\n{T}: Destroy target creature. It can't be regenerated."
