Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Dreamshackle Geist,3.0,['Blue'],['U'],None,['Creature'],['Spirit'],Rare,PVOW,3,1,None,"Flying\nAt the beginning of combat on your turn, choose up to one —\n• Tap target creature.\n• Target creature doesn't untap during its controller's next untap step."
Voice of the Blessed,2.0,['White'],['W'],None,['Creature'],"['Spirit', 'Cleric']",Rare,PVOW,2,2,None,"Whenever you gain life, put a +1/+1 counter on Voice of the Blessed.\nAs long as Voice of the Blessed has four or more +1/+1 counters on it, it has flying and vigilance.\nAs long as Voice of the Blessed has ten or more +1/+1 counters on it, it has indestructible."
Welcoming Vampire,3.0,['White'],['W'],None,['Creature'],['Vampire'],Rare,PVOW,2,3,None,"Flying\nWhenever one or more other creatures with power 2 or less enter the battlefield under your control, draw a card. This ability triggers only once each turn."
"Thalia, Guardian of Thraben",2.0,['White'],['W'],['Legendary'],['Creature'],"['Human', 'Soldier']",Rare,PVOW,2,1,None,First strike\nNoncreature spells cost {1} more to cast.
Sigarda's Summons,6.0,['White'],['W'],None,['Enchantment'],None,Rare,PVOW,None,None,None,"Creatures you control with +1/+1 counters on them have base power and toughness 4/4, have flying, and are Angels in addition to their other types."
Savior of Ollenbock,3.0,['White'],['W'],None,['Creature'],"['Human', 'Soldier']",Mythic,PVOW,1,2,None,"Training (Whenever this creature attacks with another creature with greater power, put a +1/+1 counter on this creature.)\nWhenever Savior of Ollenbock trains, exile up to one other target creature from the battlefield or creature card from a graveyard.\nWhen Savior of Ollenbock leaves the battlefield, put the exiled cards onto the battlefield under their owners' control."
Voldaren Estate,0.0,None,None,None,['Land'],None,Rare,PVOW,None,None,None,"{T}: Add {C}.\n{T}, Pay 1 life: Add one mana of any color. Spend this mana only to cast a Vampire spell.\n{5}, {T}: Create a Blood token. This ability costs {1} less to activate for each Vampire you control. (It's an artifact with ""{1}, {T}, Discard a card, Sacrifice this artifact: Draw a card."")"
Consuming Tide,4.0,['Blue'],['U'],None,['Sorcery'],None,Rare,PVOW,None,None,None,Each player chooses a nonland permanent they control. Return all nonland permanents not chosen this way to their owners' hands. Then you draw a card for each opponent who has more cards in their hand than you.
Sundown Pass,0.0,None,"['R', 'W']",None,['Land'],None,Rare,PVOW,None,None,None,Sundown Pass enters the battlefield tapped unless you control two or more other lands.\n{T}: Add {R} or {W}.
Stormcarved Coast,0.0,None,"['R', 'U']",None,['Land'],None,Rare,PVOW,None,None,None,Stormcarved Coast enters the battlefield tapped unless you control two or more other lands.\n{T}: Add {U} or {R}.
Wedding Announcement // Wedding Festivity,3.0,['White'],['W'],None,['Enchantment'],None,Rare,PVOW,None,None,None,Creatures you control get +1/+1.
Shattered Sanctum,0.0,None,"['B', 'W']",None,['Land'],None,Rare,PVOW,None,None,None,Shattered Sanctum enters the battlefield tapped unless you control two or more other lands.\n{T}: Add {W} or {B}.
Dreamroot Cascade,0.0,None,"['G', 'U']",None,['Land'],None,Rare,PVOW,None,None,None,Dreamroot Cascade enters the battlefield tapped unless you control two or more other lands.\n{T}: Add {G} or {U}.
Deathcap Glade,0.0,None,"['B', 'G']",None,['Land'],None,Rare,PVOW,None,None,None,Deathcap Glade enters the battlefield tapped unless you control two or more other lands.\n{T}: Add {B} or {G}.
