Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Death's Duet,3.0,['Black'],['B'],None,['Sorcery'],None,Common,TPR,None,None,None,Return two target creature cards from your graveyard to your hand.
Starke of Rath,3.0,['Red'],['R'],['Legendary'],['Creature'],"['Human', 'Rogue']",Mythic,TPR,2,2,None,{T}: Destroy target artifact or creature. That permanent's controller gains control of Starke of Rath. (This effect lasts indefinitely.)
Coiled Tinviper,3.0,None,None,None,"['Artifact', 'Creature']",['Snake'],Common,TPR,2,1,None,First strike
Evincar's Justice,4.0,['Black'],['B'],None,['Sorcery'],None,Uncommon,TPR,None,None,None,"Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)\nEvincar's Justice deals 2 damage to each creature and each player."
Spitting Hydra,5.0,['Red'],['R'],None,['Creature'],['Hydra'],Rare,TPR,0,0,None,"Spitting Hydra enters the battlefield with four +1/+1 counters on it.\n{1}{R}, Remove a +1/+1 counter from Spitting Hydra: It deals 1 damage to target creature."
Coat of Arms,5.0,None,None,None,['Artifact'],None,Rare,TPR,None,None,None,"Each creature gets +1/+1 for each other creature on the battlefield that shares at least one creature type with it. (For example, if two Goblin Warriors and a Goblin Shaman are on the battlefield, each gets +2/+2.)"
Dungeon Shade,4.0,['Black'],['B'],None,['Creature'],"['Shade', 'Spirit']",Common,TPR,1,1,None,Flying\n{B}: Dungeon Shade gets +1/+1 until end of turn.
Bottle Gnomes,3.0,None,None,None,"['Artifact', 'Creature']",['Gnome'],Common,TPR,1,3,None,Sacrifice Bottle Gnomes: You gain 3 life.
Diabolic Edict,2.0,['Black'],['B'],None,['Instant'],None,Common,TPR,None,None,None,Target player sacrifices a creature.
Verdant Force,8.0,['Green'],['G'],None,['Creature'],['Elemental'],Rare,TPR,7,7,None,"At the beginning of each upkeep, create a 1/1 green Saproling creature token."
Death Stroke,2.0,['Black'],['B'],None,['Sorcery'],None,Common,TPR,None,None,None,Destroy target tapped creature.
Spined Sliver,2.0,"['Green', 'Red']","['G', 'R']",None,['Creature'],['Sliver'],Uncommon,TPR,2,2,None,"Whenever a Sliver becomes blocked, that Sliver gets +1/+1 until end of turn for each creature blocking it."
Victual Sliver,2.0,"['Green', 'White']","['G', 'W']",None,['Creature'],['Sliver'],Uncommon,TPR,2,2,None,"All Slivers have ""{2}, Sacrifice this permanent: You gain 4 life."""
Death Pits of Rath,5.0,['Black'],['B'],None,['Enchantment'],None,Rare,TPR,None,None,None,"Whenever a creature is dealt damage, destroy it. It can't be regenerated."
Dauthi Warlord,2.0,['Black'],['B'],None,['Creature'],"['Dauthi', 'Soldier']",Uncommon,TPR,*,1,None,Shadow (This creature can block or be blocked by only creatures with shadow.)\nDauthi Warlord's power is equal to the number of creatures with shadow on the battlefield.
Wood Sage,2.0,"['Green', 'Blue']","['G', 'U']",None,['Creature'],"['Human', 'Druid']",Rare,TPR,1,1,None,{T}: Choose a creature card name. Reveal the top four cards of your library and put all of them with that name into your hand. Put the rest into your graveyard.
Dauthi Slayer,2.0,['Black'],['B'],None,['Creature'],"['Dauthi', 'Soldier']",Uncommon,TPR,2,2,None,Shadow (This creature can block or be blocked by only creatures with shadow.)\nDauthi Slayer attacks each combat if able.
Vhati il-Dal,4.0,"['Black', 'Green']","['B', 'G']",['Legendary'],['Creature'],"['Human', 'Warrior']",Rare,TPR,3,3,None,"{T}: Until end of turn, target creature has base power 1 or base toughness 1."
Dauthi Marauder,3.0,['Black'],['B'],None,['Creature'],"['Dauthi', 'Minion']",Uncommon,TPR,3,1,None,Shadow (This creature can block or be blocked by only creatures with shadow.)
Soltari Guerrillas,4.0,"['Red', 'White']","['R', 'W']",None,['Creature'],"['Soltari', 'Soldier']",Rare,TPR,3,2,None,"Shadow (This creature can block or be blocked by only creatures with shadow.)\n{0}: The next time Soltari Guerrillas would deal combat damage to an opponent this turn, it deals that damage to target creature instead."
Dauthi Jackal,3.0,['Black'],['B'],None,['Creature'],"['Dauthi', 'Jackal']",Common,TPR,2,1,None,"Shadow (This creature can block or be blocked by only creatures with shadow.)\n{B}{B}, Sacrifice Dauthi Jackal: Destroy target blocking creature."
Sliver Queen,5.0,"['Black', 'Green', 'Red', 'Blue', 'White']","['B', 'G', 'R', 'U', 'W']",['Legendary'],['Creature'],['Sliver'],Mythic,TPR,7,7,None,{2}: Create a 1/1 colorless Sliver creature token.
Dauthi Horror,2.0,['Black'],['B'],None,['Creature'],"['Dauthi', 'Horror']",Common,TPR,2,1,None,Shadow (This creature can block or be blocked by only creatures with shadow.)\nDauthi Horror can't be blocked by white creatures.
"Selenia, Dark Angel",5.0,"['Black', 'White']","['B', 'W']",['Legendary'],['Creature'],"['Phyrexian', 'Angel']",Rare,TPR,3,3,None,"Flying\nPay 2 life: Return Selenia, Dark Angel to its owner's hand."
Dark Ritual,1.0,['Black'],['B'],None,['Instant'],None,Common,TPR,None,None,None,Add {B}{B}{B}.
Crystalline Sliver,2.0,"['Blue', 'White']","['U', 'W']",None,['Creature'],['Sliver'],Uncommon,TPR,2,2,None,All Slivers have shroud. (They can't be the targets of spells or abilities.)
Dark Banishing,3.0,['Black'],['B'],None,['Instant'],None,Common,TPR,None,None,None,Destroy target nonblack creature. It can't be regenerated.
Hibernation Sliver,2.0,"['Black', 'Blue']","['B', 'U']",None,['Creature'],['Sliver'],Uncommon,TPR,2,2,None,"All Slivers have ""Pay 2 life: Return this permanent to its owner's hand."""
Cursed Flesh,1.0,['Black'],['B'],None,['Enchantment'],['Aura'],Common,TPR,None,None,None,Enchant creature\nEnchanted creature gets -1/-1 and has fear. (It can't be blocked except by artifact creatures and/or black creatures.)
Dracoplasm,2.0,"['Red', 'Blue']","['R', 'U']",None,['Creature'],['Shapeshifter'],Rare,TPR,0,0,None,"Flying\nAs Dracoplasm enters the battlefield, sacrifice any number of creatures. Dracoplasm's power becomes the total power of those creatures and its toughness becomes their total toughness.\n{R}: Dracoplasm gets +1/+0 until end of turn."
Crovax the Cursed,4.0,['Black'],['B'],['Legendary'],['Creature'],"['Vampire', 'Noble']",Rare,TPR,0,0,None,"Crovax the Cursed enters the battlefield with four +1/+1 counters on it.\nAt the beginning of your upkeep, you may sacrifice a creature. If you do, put a +1/+1 counter on Crovax. If you don't, remove a +1/+1 counter from Crovax.\n{B}: Crovax gains flying until end of turn."
Verdant Touch,2.0,['Green'],['G'],None,['Sorcery'],None,Uncommon,TPR,None,None,None,"Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)\nTarget land becomes a 2/2 creature that's still a land. (This effect lasts indefinitely.)"
Corpse Dance,3.0,['Black'],['B'],None,['Instant'],None,Rare,TPR,None,None,None,"Buyback {2} (You may pay an additional {2} as you cast this spell. If you do, put this card into your hand as it resolves.)\nReturn the top creature card of your graveyard to the battlefield. That creature gains haste until end of turn. Exile it at the beginning of the next end step."
Tranquility,3.0,['Green'],['G'],None,['Sorcery'],None,Uncommon,TPR,None,None,None,Destroy all enchantments.
Commander Greven il-Vec,6.0,['Black'],['B'],['Legendary'],['Creature'],"['Phyrexian', 'Human', 'Warrior']",Rare,TPR,7,5,None,"Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)\nWhen Commander Greven il-Vec enters the battlefield, sacrifice a creature."
Acidic Sliver,2.0,"['Black', 'Red']","['B', 'R']",None,['Creature'],['Sliver'],Uncommon,TPR,2,2,None,"All Slivers have ""{2}, Sacrifice this permanent: This permanent deals 2 damage to any target."""
Coffin Queen,3.0,['Black'],['B'],None,['Creature'],"['Zombie', 'Wizard']",Rare,TPR,1,1,None,"You may choose not to untap Coffin Queen during your untap step.\n{2}{B}, {T}: Put target creature card from a graveyard onto the battlefield under your control. When Coffin Queen becomes untapped or you lose control of Coffin Queen, exile that creature."
Wall of Blossoms,2.0,['Green'],['G'],None,['Creature'],"['Plant', 'Wall']",Uncommon,TPR,0,4,None,"Defender\nWhen Wall of Blossoms enters the battlefield, draw a card."
Coercion,3.0,['Black'],['B'],None,['Sorcery'],None,Common,TPR,None,None,None,Target opponent reveals their hand. You choose a card from it. That player discards that card.
Verdigris,3.0,['Green'],['G'],None,['Instant'],None,Common,TPR,None,None,None,Destroy target artifact.
Clot Sliver,2.0,['Black'],['B'],None,['Creature'],['Sliver'],Common,TPR,1,1,None,"All Slivers have ""{2}: Regenerate this permanent."""
Trained Armodon,3.0,['Green'],['G'],None,['Creature'],['Elephant'],Common,TPR,3,3,None,None
Carnophage,1.0,['Black'],['B'],None,['Creature'],['Zombie'],Common,TPR,2,2,None,"At the beginning of your upkeep, tap Carnophage unless you pay 1 life."
Survival of the Fittest,2.0,['Green'],['G'],None,['Enchantment'],None,Mythic,TPR,None,None,None,"{G}, Discard a creature card: Search your library for a creature card, reveal that card, put it into your hand, then shuffle."
Spined Wurm,5.0,['Green'],['G'],None,['Creature'],['Wurm'],Common,TPR,5,4,None,None
Cannibalize,2.0,['Black'],['B'],None,['Sorcery'],None,Uncommon,TPR,None,None,None,Choose two target creatures controlled by the same player. Exile one of those creatures and put two +1/+1 counters on the other.
Spike Hatcher,7.0,['Green'],['G'],None,['Creature'],['Spike'],Rare,TPR,0,0,None,"Spike Hatcher enters the battlefield with six +1/+1 counters on it.\n{2}, Remove a +1/+1 counter from Spike Hatcher: Put a +1/+1 counter on target creature.\n{1}, Remove a +1/+1 counter from Spike Hatcher: Regenerate Spike Hatcher."
Winged Sliver,2.0,['Blue'],['U'],None,['Creature'],['Sliver'],Common,TPR,1,1,None,All Sliver creatures have flying.
Spike Feeder,3.0,['Green'],['G'],None,['Creature'],['Spike'],Uncommon,TPR,0,0,None,"Spike Feeder enters the battlefield with two +1/+1 counters on it.\n{2}, Remove a +1/+1 counter from Spike Feeder: Put a +1/+1 counter on target creature.\nRemove a +1/+1 counter from Spike Feeder: You gain 2 life."
Wind Drake,3.0,['Blue'],['U'],None,['Creature'],['Drake'],Common,TPR,2,2,None,Flying
Spike Colony,5.0,['Green'],['G'],None,['Creature'],['Spike'],Common,TPR,0,0,None,"Spike Colony enters the battlefield with four +1/+1 counters on it.\n{2}, Remove a +1/+1 counter from Spike Colony: Put a +1/+1 counter on target creature."
Wind Dancer,2.0,['Blue'],['U'],None,['Creature'],['Faerie'],Uncommon,TPR,1,1,None,Flying\n{T}: Target creature gains flying until end of turn.
Spike Breeder,4.0,['Green'],['G'],None,['Creature'],['Spike'],Uncommon,TPR,0,0,None,"Spike Breeder enters the battlefield with three +1/+1 counters on it.\n{2}, Remove a +1/+1 counter from Spike Breeder: Put a +1/+1 counter on target creature.\n{2}, Remove a +1/+1 counter from Spike Breeder: Create a 1/1 green Spike creature token."
Whispers of the Muse,1.0,['Blue'],['U'],None,['Instant'],None,Common,TPR,None,None,None,"Buyback {5} (You may pay an additional {5} as you cast this spell. If you do, put this card into your hand as it resolves.)\nDraw a card."
Skyshroud Troll,4.0,['Green'],['G'],None,['Creature'],"['Troll', 'Giant']",Common,TPR,3,3,None,{1}{G}: Regenerate Skyshroud Troll.
Wayward Soul,4.0,['Blue'],['U'],None,['Creature'],['Spirit'],Common,TPR,3,2,None,Flying\n{U}: Put Wayward Soul on top of its owner's library.
Skyshroud Elf,2.0,['Green'],"['G', 'R', 'W']",None,['Creature'],"['Elf', 'Druid']",Common,TPR,1,1,None,{T}: Add {G}.\n{1}: Add {R} or {W}.
Volrath's Curse,2.0,['Blue'],['U'],None,['Enchantment'],['Aura'],Uncommon,TPR,None,None,None,"Enchant creature\nEnchanted creature can't attack or block, and its activated abilities can't be activated. That creature's controller may sacrifice a permanent for that player to ignore this effect until end of turn.\n{1}{U}: Return Volrath's Curse to its owner's hand."
Rootwalla,3.0,['Green'],['G'],None,['Creature'],['Lizard'],Common,TPR,2,2,None,{1}{G}: Rootwalla gets +2/+2 until end of turn. Activate only once each turn.
Twitch,3.0,['Blue'],['U'],None,['Instant'],None,Common,TPR,None,None,None,"You may tap or untap target artifact, creature, or land.\nDraw a card."
Tradewind Rider,4.0,['Blue'],['U'],None,['Creature'],['Spirit'],Rare,TPR,1,4,None,"Flying\n{T}, Tap two untapped creatures you control: Return target permanent to its owner's hand."
Rootbreaker Wurm,7.0,['Green'],['G'],None,['Creature'],['Wurm'],Uncommon,TPR,6,6,None,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Soltari Monk,2.0,['White'],['W'],None,['Creature'],"['Soltari', 'Monk', 'Cleric']",Uncommon,TPR,2,1,None,Protection from black\nShadow (This creature can block or be blocked by only creatures with shadow.)
Time Warp,5.0,['Blue'],['U'],None,['Sorcery'],None,Mythic,TPR,None,None,None,Target player takes an extra turn after this one.
Recycle,6.0,['Green'],['G'],None,['Enchantment'],None,Rare,TPR,None,None,None,"Skip your draw step.\nWhenever you play a card, draw a card.\nYour maximum hand size is two."
Soltari Lancer,3.0,['White'],['W'],None,['Creature'],"['Soltari', 'Knight']",Common,TPR,2,2,None,Shadow (This creature can block or be blocked by only creatures with shadow.)\nSoltari Lancer has first strike as long as it's attacking.
Time Ebb,3.0,['Blue'],['U'],None,['Sorcery'],None,Common,TPR,None,None,None,Put target creature on top of its owner's library.
Soltari Champion,3.0,['White'],['W'],None,['Creature'],"['Soltari', 'Soldier']",Uncommon,TPR,2,2,None,"Shadow (This creature can block or be blocked by only creatures with shadow.)\nWhenever Soltari Champion attacks, other creatures you control get +1/+1 until end of turn."
Thalakos Seer,2.0,['Blue'],['U'],None,['Creature'],"['Thalakos', 'Wizard']",Common,TPR,1,1,None,"Shadow (This creature can block or be blocked by only creatures with shadow.)\nWhen Thalakos Seer leaves the battlefield, draw a card."
Reality Anchor,2.0,['Green'],['G'],None,['Instant'],None,Common,TPR,None,None,None,Target creature loses shadow until end of turn.\nDraw a card.
Smite,1.0,['White'],['W'],None,['Instant'],None,Common,TPR,None,None,None,Destroy target blocked creature.
