Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Endless Cockroaches,3.0,['Black'],['B'],None,['Creature'],['Insect'],Rare,POR,1,1,None,"When Endless Cockroaches dies, return it to its owner's hand."
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,POR,None,None,None,({T}: Add {R}.)
Arrogant Vampire,5.0,['Black'],['B'],None,['Creature'],['Vampire'],Uncommon,POR,4,3,None,Flying
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,POR,None,None,None,({T}: Add {R}.)
Djinn of the Lamp,7.0,['Blue'],['U'],None,['Creature'],['Djinn'],Rare,POR,5,6,None,Flying
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,POR,None,None,None,({T}: Add {R}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,POR,None,None,None,({T}: Add {W}.)
Coral Eel,2.0,['Blue'],['U'],None,['Creature'],['Fish'],Common,POR,2,1,None,None
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,POR,None,None,None,({T}: Add {R}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,POR,None,None,None,({T}: Add {B}.)
Cloak of Feathers,1.0,['Blue'],['U'],None,['Sorcery'],None,Common,POR,None,None,None,Target creature gains flying until end of turn.\nDraw a card.
Renewing Dawn,2.0,['White'],['W'],None,['Sorcery'],None,Uncommon,POR,None,None,None,You gain 2 life for each Mountain target opponent controls.
Anaconda,4.0,['Green'],['G'],None,['Creature'],['Snake'],Uncommon,POR,3,3,None,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,POR,None,None,None,({T}: Add {B}.)
Baleful Stare,3.0,['Blue'],['U'],None,['Sorcery'],None,Uncommon,POR,None,None,None,Target opponent reveals their hand. You draw a card for each Mountain and red card in it.
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,POR,None,None,None,({T}: Add {B}.)
